"state","zcta5","stab","zipname","intptlon","intptlat","pop2k","afact"
"FIPS state","ZIP Census Tabulation Area","State Postal Code","zipname","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total Pop, 2000 census","state to zcta5 alloc factor"
"37","27006","NC","ADVANCE",-80.442133,35.973305,10762,0.001337 
"37","27007","NC","ARARAT",-80.591562,36.385627,1339,0.000166 
"37","27009","NC","BELEWS CREEK",-80.087946,36.223116,2211,0.000275 
"37","27011","NC","BOONVILLE",-80.696754,36.215479,5310,0.00066 
"37","27012","NC","CLEMMONS",-80.381687,36.023971,21619,0.002686 
"37","27013","NC","CLEVELAND",-80.70394,35.74267,5484,0.000681 
"37","27014","NC","COOLEEMEE",-80.55639,35.81172,573,0.000071 
"37","27016","NC","DANBURY",-80.216061,36.453296,1824,0.000227 
"37","27017","NC","DOBSON",-80.714216,36.363361,8577,0.001066 
"37","27018","NC","EAST BEND",-80.519125,36.19973,7293,0.000906 
"37","27019","NC","GERMANTON",-80.235311,36.289486,4523,0.000562 
"37","27020","NC","HAMPTONVILLE",-80.806219,36.114695,5901,0.000733 
"37","27021","NC","KING",-80.34888,36.298024,15984,0.001986 
"37","27022","NC","LAWSONVILLE",-80.210418,36.512937,1581,0.000196 
"37","27023","NC","LEWISVILLE",-80.418084,36.097408,9923,0.001233 
"37","27024","NC","LOWGAP",-80.83332,36.527595,2536,0.000315 
"37","27025","NC","MADISON",-79.975252,36.379706,10485,0.001303 
"37","27027","NC","MAYODAN",-79.97617,36.424806,4388,0.000545 
"37","27028","NC","MOCKSVILLE",-80.562375,35.90843,23284,0.002893 
"37","27030","NC","MOUNT AIRY",-80.621007,36.493319,39058,0.004852 
"37","27040","NC","PFAFFTOWN",-80.380414,36.162941,9562,0.001188 
"37","27041","NC","PILOT MOUNTAIN",-80.482767,36.403848,7036,0.000874 
"37","27042","NC","PINE HALL",-80.055268,36.339965,649,0.000081 
"37","27043","NC","PINNACLE",-80.446935,36.341702,5364,0.000666 
"37","27045","NC","RURAL HALL",-80.295075,36.23113,7179,0.000892 
"37","27046","NC","SANDY RIDGE",-80.087935,36.488605,2033,0.000253 
"37","27047","NC","SILOAM",-80.575059,36.317183,1233,0.000153 
"37","27048","NC","STONEVILLE",-79.894168,36.464949,8392,0.001043 
"37","27050","NC","TOBACCOVILLE",-80.396888,36.240296,3803,0.000472 
"37","27051","NC","WALKERTOWN",-80.162084,36.182735,6840,0.00085 
"37","27052","NC","WALNUT COVE",-80.1495,36.311567,10380,0.00129 
"37","27053","NC","WESTFIELD",-80.361194,36.471759,2811,0.000349 
"37","27054","NC","WOODLEAF",-80.593815,35.793291,2342,0.000291 
"37","27055","NC","YADKINVILLE",-80.639365,36.120206,13084,0.001625 
"37","27101","NC","WINSTON SALEM",-80.222106,36.103458,19708,0.002448 
"37","27103","NC","WINSTON SALEM",-80.304511,36.065744,27268,0.003388 
"37","27104","NC","WINSTON SALEM",-80.321496,36.092815,26855,0.003336 
"37","27105","NC","WINSTON SALEM",-80.236561,36.145932,40713,0.005058 
"37","27106","NC","WINSTON SALEM",-80.309253,36.144363,39805,0.004945 
