NORTH CAROLINA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
37,27006,13
37,27007,05
37,27009,05
37,27011,05
37,27012,05
37,27012,13
37,27013,13
37,27014,13
37,27016,05
37,27017,05
37,27018,05
37,27019,05
37,27020,05
37,27020,13
37,27021,05
37,27022,05
37,27023,05
37,27024,05
37,27025,05
37,27025,06
37,27027,06
37,27028,13
37,27030,05
37,27040,05
37,27041,05
37,27042,05
37,27043,05
37,27045,05
37,27046,05
37,27047,05
37,27048,06
37,27050,05
37,27051,05
37,27052,05
37,27053,05
37,27054,13
37,27055,05
37,27055,13
37,27101,05
37,27103,05
37,27104,05
37,27105,05
37,27106,05
37,27107,05
37,27107,13
37,27109,05
37,27110,05
37,27127,05
37,27127,13
37,27201,06
37,27203,06
37,27205,06
37,27207,06
37,27208,06
37,27208,08
37,27209,08
37,27212,06
37,27214,06
37,27215,06
37,27217,06
37,27229,08
37,27231,04
37,27233,06
37,27233,13
37,27235,13
37,27239,06
37,27239,13
37,27242,08
37,27243,04
37,27244,06
37,27248,06
37,27249,06
37,27252,06
37,27253,06
37,27258,06
37,27260,06
37,27260,13
37,27262,13
37,27263,06
37,27263,13
37,27265,05
37,27265,13
37,27278,01
37,27278,04
37,27281,08
37,27282,13
37,27283,06
37,27284,05
37,27284,06
37,27284,13
37,27288,06
37,27291,06
37,27292,06
37,27292,13
37,27295,13
37,27298,06
37,27299,13
37,27301,06
37,27302,04
37,27302,06
37,27305,06
37,27306,08
37,27306,09
37,27310,06
37,27310,13
37,27311,06
37,27312,06
37,27313,06
37,27313,13
37,27314,06
37,27315,06
37,27316,06
37,27317,06
37,27317,13
37,27320,06
37,27325,06
37,27325,08
37,27326,06
37,27330,02
37,27330,06
37,27330,08
37,27332,02
37,27332,06
37,27340,06
37,27341,06
37,27341,08
37,27343,06
37,27344,06
37,27349,06
37,27350,06
37,27355,06
37,27356,08
37,27357,05
37,27357,06
37,27358,06
37,27360,06
37,27360,13
37,27370,06
37,27371,06
37,27371,08
37,27376,08
37,27377,06
37,27379,06
37,27401,06
37,27401,13
37,27403,13
37,27405,06
37,27405,13
37,27406,06
37,27406,13
37,27407,13
37,27408,06
37,27408,13
37,27409,06
37,27409,13
37,27410,06
37,27410,13
37,27455,06
37,27455,13
37,27501,02
37,27501,07
37,27502,02
37,27502,04
37,27502,06
37,27503,01
37,27504,02
37,27504,07
37,27505,02
37,27505,06
37,27507,01
37,27508,02
37,27509,01
37,27510,04
37,27511,02
37,27511,04
37,27513,04
37,27514,04
37,27516,04
37,27516,06
37,27517,01
37,27517,04
37,27517,06
37,27518,02
37,27518,04
37,27519,02
37,27519,04
37,27519,06
37,27520,02
37,27521,02
37,27522,01
37,27522,02
37,27523,02
37,27523,04
37,27523,06
37,27524,02
37,27524,07
37,27525,01
37,27525,02
37,27526,02
37,27527,02
37,27529,02
37,27529,04
37,27530,07
37,27531,07
37,27534,07
37,27536,01
37,27537,01
37,27537,02
37,27539,02
37,27539,04
37,27540,02
37,27540,06
37,27541,04
37,27541,06
37,27542,02
37,27542,07
37,27544,01
37,27544,02
37,27545,02
37,27545,04
37,27546,02
37,27549,02
37,27551,01
37,27553,01
37,27555,02
37,27556,01
37,27557,02
37,27559,06
37,27560,01
37,27560,04
37,27562,02
37,27562,06
37,27563,01
37,27565,01
37,27565,06
37,27568,07
37,27569,02
37,27569,07
37,27571,02
37,27572,01
37,27572,04
37,27572,06
37,27573,06
37,27574,06
37,27576,02
37,27576,07
37,27577,02
37,27577,07
37,27581,01
37,27582,01
37,27583,04
37,27583,06
37,27587,01
37,27587,02
37,27587,04
37,27589,01
37,27589,02
37,27591,02
37,27591,04
37,27592,02
37,27592,07
37,27596,01
37,27596,02
37,27597,02
37,27601,04
37,27603,02
37,27603,04
37,27603,07
37,27604,04
37,27605,04
37,27606,02
37,27606,04
37,27607,04
37,27608,04
37,27609,04
37,27610,02
37,27610,04
37,27612,04
37,27613,01
37,27613,02
37,27613,04
37,27614,02
37,27615,02
37,27615,04
37,27616,02
37,27616,04
37,27617,01
37,27617,04
37,27701,01
37,27703,01
37,27703,04
37,27704,01
37,27705,01
37,27705,04
37,27707,01
37,27707,04
37,27709,04
37,27712,01
37,27713,01
37,27713,04
37,27713,06
37,27801,01
37,27803,01
